Sl. No.,Coil Number,Start Time,End Time,PHF Z1 Temp SP Min,PHF Z1 Temp SP Max,PHF Z1 Temp SP Avg,PHF Z1 Temp OP Min,PHF Z1 Temp OP Max,PHF Z1 Temp OP Avg,PHF Z1 A/G SP Min,PHF Z1 A/G SP Max,PHF Z1 A/G SP Avg,PHF Z1 A/G PV Min,PHF Z1 A/G PV Max,PHF Z1 A/G PV Avg,PHF Z2 Temp SP Min,PHF Z2 Temp SP Max,PHF Z2 Temp SP Avg,PHF Z2 Temp OP Min,PHF Z2 Temp OP Max,PHF Z2 Temp OP Avg,PHF Z2 A/G SP Min,PHF Z2 A/G SP Max,PHF Z2 A/G SP Avg,PHF Z2 A/G PV Min,PHF Z2 A/G PV Max,PHF Z2 A/G PV Avg,PHF Z3 Temp SP Min,PHF Z3 Temp SP Max,PHF Z3 Temp SP Avg,PHF Z3 Temp OP Min,PHF Z3 Temp OP Max,PHF Z3 Temp OP Avg,PHF Z3 A/G SP Min,PHF Z3 A/G SP Max,PHF Z3 A/G SP Avg,PHF Z3 A/G PV Min,PHF Z3 A/G PV Max,PHF Z3 A/G PV Avg,PHF Z4 Temp SP Min,PHF Z4 Temp SP Max,PHF Z4 Temp SP Avg,PHF Z4 Temp OP Min,PHF Z4 Temp OP Max,PHF Z4 Temp OP Avg,PHF Z4 A/G SP Min,PHF Z4 A/G SP Max,PHF Z4 A/G SP Avg,PHF Z4 A/G PV Min,PHF Z4 A/G PV Max,PHF Z4 A/G PV Avg,PHF Z5 Temp SP Min,PHF Z5 Temp SP Max,PHF Z5 Temp SP Avg,PHF Z5 Temp OP Min,PHF Z5 Temp OP Max,PHF Z5 Temp OP Avg,PHF Z5 A/G SP Min,PHF Z5 A/G SP Max,PHF Z5 A/G SP Avg,PHF Z5 A/G PV Min,PHF Z5 A/G PV Max,PHF Z5 A/G PV Avg,Heater RTF Z1 SP Min,Heater RTF Z1 SP Max,Heater RTF Z1 SP Avg,Heater RTF Z1 OP Min,Heater RTF Z1 OP Max,Heater RTF Z1 OP Avg,Heater RTF Z1 PV Min,Heater RTF Z1 PV Max,Heater RTF Z1 PV Avg,Heater RTF Z2 SP Min,Heater RTF Z2 SP Max,Heater RTF Z2 SP Avg,Heater RTF Z2 OP Min,Heater RTF Z2 OP Max,Heater RTF Z2 OP Avg,Heater RTF Z2 PV Min,Heater RTF Z2 PV Max,Heater RTF Z2 PV Avg,Heater RTF Z3 SP Min,Heater RTF Z3 SP Max,Heater RTF Z3 SP Avg,Heater RTF Z3 OP Min,Heater RTF Z3 OP Max,Heater RTF Z3 OP Avg,Heater RTF Z3 PV Min,Heater RTF Z3 PV Max,Heater RTF Z3 PV Avg,Heater SF SP Min,Heater SF SP Max,Heater SF SP Avg,Heater SF OP Min,Heater SF OP Max,Heater SF OP Avg,Heater SF PV Min,Heater SF PV Max,Heater SF PV Avg,Heater JCF Z1 SP Min,Heater JCF Z1 SP Max,Heater JCF Z1 SP Avg,Heater JCF Z1 OP Min,Heater JCF Z1 OP Max,Heater JCF Z1 OP Avg,Heater JCF Z1 PV Min,Heater JCF Z1 PV Max,Heater JCF Z1 PV Avg,Heater JCF Z2 PV Min,Heater JCF Z2 PV Max,Heater JCF Z2 PV Avg,Heater JCF Z3 PV Min,Heater JCF Z3 PV Max,Heater JCF Z3 PV Avg,Heater HBR SP Min,Heater HBR SP Max,Heater HBR SP Avg,Heater HBR OP Min,Heater HBR OP Max,Heater HBR OP Avg,Heater HBR PV Min,Heater HBR PV Max,Heater HBR PV Avg,Exit Strip PHF Exit SP Min,Exit Strip PHF Exit SP Max,Exit Strip PHF Exit SP Avg,Exit Strip PHF Exit PV Min,Exit Strip PHF Exit PV Max,Exit Strip PHF Exit PV Avg,Exit Strip PHF Exit OP Min,Exit Strip PHF Exit OP Max,Exit Strip PHF Exit OP Avg,Exit Strip RTF Exit SP Min,Exit Strip RTF Exit SP Max,Exit Strip RTF Exit SP Avg,Exit Strip RTF Exit PV Min,Exit Strip RTF Exit PV Max,Exit Strip RTF Exit PV Avg,Exit Strip RTF Exit OP Min,Exit Strip RTF Exit OP Max,Exit Strip RTF Exit OP Avg,Exit Strip SF Exit SP Min,Exit Strip SF Exit SP Max,Exit Strip SF Exit SP Avg,Exit Strip SF Exit PV Min,Exit Strip SF Exit PV Max,Exit Strip SF Exit PV Avg,Exit Strip SF Exit OP Min,Exit Strip SF Exit OP Max,Exit Strip SF Exit OP Avg,Exit Strip HBR Exit SP Min,Exit Strip HBR Exit SP Max,Exit Strip HBR Exit SP Avg,Exit Strip HBR Exit PV Min,Exit Strip HBR Exit PV Max,Exit Strip HBR Exit PV Avg,Exit Strip HBR Exit OP Min,Exit Strip HBR Exit OP Max,Exit Strip HBR Exit OP Avg,Fume/Comb Fume Exh Press SP (mmwc) Min,Fume/Comb Fume Exh Press SP (mmwc) Max,Fume/Comb Fume Exh Press SP (mmwc) Avg,Fume/Comb Fume Exh Press PV (mmwc) Min,Fume/Comb Fume Exh Press PV (mmwc) Max,Fume/Comb Fume Exh Press PV (mmwc) Avg,Fume/Comb Fume Exh Press OP Min,Fume/Comb Fume Exh Press OP Max,Fume/Comb Fume Exh Press OP Avg,Fume/Comb Fume Exh Blower (rpm) Min,Fume/Comb Fume Exh Blower (rpm) Max,Fume/Comb Fume Exh Blower (rpm) Avg,Fume/Comb Comb Air Press SP Min,Fume/Comb Comb Air Press SP Max,Fume/Comb Comb Air Press SP Avg,Fume/Comb Comb Air Press PV Min,Fume/Comb Comb Air Press PV Max,Fume/Comb Comb Air Press PV Avg,Fume/Comb Comb Air Press OP Min,Fume/Comb Comb Air Press OP Max,Fume/Comb Comb Air Press OP Avg,Fume/Comb Comb Blower 1 (rpm) Min,Fume/Comb Comb Blower 1 (rpm) Max,Fume/Comb Comb Blower 1 (rpm) Avg,Fume/Comb Comb Blower 2 (rpm) Min,Fume/Comb Comb Blower 2 (rpm) Max,Fume/Comb Comb Blower 2 (rpm) Avg,Gas O2 (ppm) Min,Gas O2 (ppm) Max,Gas O2 (ppm) Avg,Gas Dew Point Min,Gas Dew Point Max,Gas Dew Point Avg,Gas H2 (%) Min,Gas H2 (%) Max,Gas H2 (%) Avg,Gas H2 Flow Min,Gas H2 Flow Max,Gas H2 Flow Avg,Gas N2 Flow Min,Gas N2 Flow Max,Gas N2 Flow Avg,Mode/Cmd PHF Exit Auto/Man,Mode/Cmd PHF Exit Strip/Amb,Mode/Cmd RTF Exit Auto/Man,Mode/Cmd RTF Exit Strip/Amb,Mode/Cmd SF Exit Auto/Man,Mode/Cmd SF Exit Strip/Amb,Mode/Cmd HBR Exit Auto/Man,Mode/Cmd HBR Exit Strip/Amb
1,C07G0864,16-Jul-26 23:55:18,17-Jul-26 01:01:36,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,10.72,14.17,12.00,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,8.46,13.19,11.49,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,9.97,11.97,11.00,1150.0,1150.0,1150.0,99.4,100.0,100.0,10.50,10.50,10.50,9.79,11.07,10.49,1100.0,1100.0,1100.0,2.0,100.0,67.5,12.00,12.00,12.00,11.47,12.47,12.14,750.0,770.0,754.8,94.6,100.0,99.9,711.0,750.0,728.1,750.0,770.0,754.8,15.6,100.0,95.7,736.0,776.0,755.3,750.0,770.0,754.7,38.8,100.0,97.3,717.0,774.0,748.0,750.0,750.0,750.0,91.6,100.0,98.5,704.0,746.0,723.0,480.0,480.0,480.0,0.0,0.0,0.0,161.0,214.0,188.9,181.0,226.0,196.3,182.0,217.0,197.0,480.0,480.0,480.0,88.9,100.0,98.6,177.0,264.0,224.3,680.0,720.0,682.2,610.1,779.7,674.6,25.0,29.0,27.6,680.0,750.0,739.1,618.7,673.4,643.2,96.7,100.0,100.0,720.0,750.0,727.7,663.5,732.1,690.0,97.3,100.0,100.0,460.0,460.0,460.0,450.0,504.3,469.7,10.0,25.0,18.4,-40.0,-40.0,-40.0,-41.3,-38.4,-40.0,68.3,79.0,74.1,1011,1166,1095,900.0,900.0,900.0,889.4,905.5,899.1,95.3,100.0,98.1,2839,2971,2917,0,0,0,41,76,49,-22.1,-19.7,-21.0,19.36,20.53,20.01,27.81,31.91,28.73,241.22,248.00,244.57,MANUAL,STRIP,AUTO,BOTH,AUTO,BOTH,MANUAL,STRIP
2,C07G0628,17-Jul-26 01:03:27,17-Jul-26 01:37:14,1200.0,1200.0,1200.0,99.5,100.0,100.0,12.00,12.00,12.00,10.41,13.83,12.03,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,9.25,12.98,11.50,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,10.16,11.50,11.02,1150.0,1150.0,1150.0,99.6,100.0,100.0,10.50,10.50,10.50,9.84,10.87,10.51,1100.0,1100.0,1100.0,2.0,2.4,2.0,12.00,12.00,12.00,11.73,12.34,12.01,770.0,770.0,770.0,99.9,100.0,100.0,744.0,761.0,751.6,770.0,770.0,770.0,99.9,100.0,100.0,771.0,788.0,780.3,770.0,770.0,770.0,99.9,100.0,100.0,764.0,779.0,771.6,750.0,750.0,750.0,74.6,100.0,90.2,737.0,757.0,748.8,480.0,480.0,480.0,0.0,0.0,0.0,159.0,175.0,168.7,189.0,198.0,193.8,195.0,207.0,201.9,480.0,480.0,480.0,88.7,100.0,98.4,263.0,292.0,277.2,680.0,680.0,680.0,654.1,737.1,680.7,26.0,28.0,26.8,750.0,750.0,750.0,669.3,686.4,676.8,99.9,100.0,100.0,720.0,720.0,720.0,707.9,725.4,716.1,66.6,100.0,94.7,460.0,460.0,460.0,473.4,504.7,483.9,20.0,20.0,20.0,-40.0,-40.0,-40.0,-40.8,-38.5,-40.0,71.8,76.4,73.9,1062,1128,1092,900.0,900.0,900.0,896.7,904.9,900.0,98.3,99.8,99.1,2926,2965,2947,0,0,0,38,42,39,-21.8,-19.6,-20.6,19.66,20.23,20.04,28.22,31.30,28.80,242.05,244.33,243.09,MANUAL,STRIP,AUTO,STRIP,AUTO,AMBIENT,MANUAL,STRIP
3,C07G0629,17-Jul-26 01:38:35,17-Jul-26 02:11:55,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,9.85,12.99,11.99,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,8.92,11.93,11.50,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,10.47,11.42,10.97,1150.0,1150.0,1150.0,99.6,100.0,100.0,10.50,10.50,10.50,10.01,10.74,10.49,1100.0,1100.0,1100.0,2.0,2.6,2.0,12.00,12.00,12.00,11.81,12.21,12.06,770.0,770.0,770.0,93.9,100.0,98.9,744.0,763.0,753.3,770.0,770.0,770.0,0.0,100.0,25.2,757.0,785.0,771.3,750.0,770.0,764.5,62.0,100.0,91.0,727.0,776.0,750.8,740.0,750.0,746.0,54.8,100.0,81.0,739.0,758.0,748.4,480.0,480.0,480.0,0.0,0.0,0.0,153.0,167.0,160.4,192.0,200.0,196.4,197.0,210.0,204.2,480.0,480.0,480.0,90.1,100.0,98.4,289.0,310.0,300.0,680.0,680.0,680.0,668.0,773.4,685.5,27.0,28.0,27.6,750.0,750.0,750.0,669.8,691.3,679.0,99.9,100.0,100.0,720.0,720.0,720.0,710.2,732.1,718.0,38.1,100.0,79.5,460.0,460.0,460.0,468.9,500.7,489.7,20.0,22.0,20.1,-40.0,-40.0,-40.0,-40.8,-38.7,-40.0,73.5,78.1,75.9,1087,1153,1122,900.0,900.0,900.0,895.4,906.2,900.0,99.2,100.0,99.6,2949,2971,2961,0,0,0,37,43,40,-22.8,-21.4,-22.2,19.55,20.05,19.78,28.15,30.75,28.59,242.39,244.66,243.36,MANUAL,STRIP,AUTO,BOTH,AUTO,AMBIENT,MANUAL,STRIP
4,C07G0627,17-Jul-26 02:13:11,17-Jul-26 03:32:59,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,9.36,13.77,11.99,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,8.36,13.25,11.50,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,9.81,11.40,11.00,1150.0,1150.0,1150.0,99.5,100.0,100.0,10.50,10.50,10.50,10.27,10.95,10.50,1100.0,1100.0,1100.0,2.0,2.4,2.0,12.00,12.00,12.00,11.76,12.08,12.00,770.0,770.0,770.0,91.7,100.0,98.0,740.0,759.0,749.1,770.0,770.0,770.0,51.8,100.0,74.0,753.0,780.0,768.7,760.0,770.0,769.8,90.7,100.0,97.9,729.0,764.0,751.1,740.0,740.0,740.0,25.9,69.8,49.9,733.0,753.0,740.5,480.0,480.0,480.0,0.0,0.0,0.0,153.0,169.0,159.9,158.0,197.0,177.0,163.0,207.0,183.5,480.0,480.0,480.0,90.1,100.0,98.3,307.0,330.0,320.4,680.0,680.0,680.0,675.2,747.4,688.9,26.0,27.0,26.4,750.0,750.0,750.0,672.5,690.4,679.6,99.9,100.0,100.0,720.0,720.0,720.0,709.3,730.3,719.3,0.0,100.0,61.4,460.0,460.0,460.0,476.9,508.8,488.4,20.0,35.0,29.3,-40.0,-40.0,-40.0,-41.1,-38.3,-40.0,71.6,76.9,74.0,1059,1135,1094,900.0,900.0,900.0,891.4,909.3,900.0,98.3,100.0,98.9,2924,2969,2942,0,0,0,36,47,42,-24.7,-19.0,-21.4,19.34,20.95,20.07,27.95,32.62,29.40,242.22,244.55,243.23,MANUAL,STRIP,AUTO,BOTH,AUTO,AMBIENT,MANUAL,STRIP
5,C07G0949,17-Jul-26 03:35:20,17-Jul-26 04:13:33,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,10.16,13.95,11.98,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,8.37,12.91,11.51,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,10.24,11.76,11.00,1150.0,1150.0,1150.0,99.5,100.0,100.0,10.50,10.50,10.50,9.85,11.13,10.50,1100.0,1100.0,1100.0,2.0,2.4,2.1,12.00,12.00,12.00,11.68,12.26,11.99,770.0,770.0,770.0,94.4,100.0,99.5,736.0,762.0,745.3,770.0,770.0,770.0,54.0,100.0,90.7,755.0,781.0,769.5,770.0,770.0,770.0,94.2,100.0,99.6,736.0,770.0,755.8,740.0,740.0,740.0,27.4,76.6,58.2,729.0,750.0,738.0,480.0,480.0,480.0,0.0,0.0,0.0,147.0,165.0,154.1,157.0,178.0,165.8,163.0,177.0,170.1,480.0,480.0,480.0,89.5,100.0,98.1,323.0,335.0,328.7,680.0,680.0,680.0,631.2,762.6,669.7,20.0,25.0,23.6,750.0,750.0,750.0,659.0,690.9,669.7,99.9,100.0,100.0,720.0,720.0,720.0,704.8,744.2,715.8,0.0,100.0,75.7,460.0,460.0,460.0,475.6,496.2,482.1,30.0,35.0,30.4,-40.0,-40.0,-40.0,-41.1,-38.2,-40.0,64.3,72.6,69.2,953,1075,1023,900.0,900.0,900.0,892.5,906.0,900.0,95.8,98.6,97.6,2855,2933,2903,0,0,0,36,47,40,-24.2,-19.3,-22.1,19.60,20.34,19.88,27.88,31.18,28.58,242.78,244.44,243.40,MANUAL,STRIP,AUTO,BOTH,AUTO,AMBIENT,MANUAL,STRIP
6,C07G0625,17-Jul-26 04:14:57,17-Jul-26 04:48:45,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,10.44,13.38,12.01,1200.0,1200.0,1200.0,99.7,100.0,100.0,11.50,11.50,11.50,8.85,13.35,11.45,1150.0,1150.0,1150.0,99.5,100.0,100.0,11.00,11.00,11.00,9.92,11.51,10.96,1150.0,1150.0,1150.0,99.5,100.0,100.0,10.50,10.50,10.50,9.90,11.02,10.49,1100.0,1100.0,1100.0,2.0,2.4,2.0,12.00,12.00,12.00,11.57,12.12,11.99,770.0,770.0,770.0,98.6,100.0,100.0,745.0,759.0,751.2,770.0,770.0,770.0,98.6,100.0,100.0,775.0,788.0,781.0,770.0,770.0,770.0,98.6,100.0,100.0,765.0,781.0,773.1,740.0,740.0,740.0,9.4,73.4,40.8,739.0,752.0,745.1,480.0,480.0,480.0,0.0,0.0,0.0,146.0,161.0,152.6,160.0,172.0,166.1,155.0,179.0,170.2,480.0,480.0,480.0,90.4,100.0,98.2,326.0,337.0,331.7,680.0,680.0,680.0,653.2,710.6,677.5,23.0,25.0,24.6,700.0,750.0,745.6,667.1,686.8,675.8,98.6,100.0,100.0,720.0,720.0,720.0,712.4,728.1,721.0,0.0,100.0,63.7,460.0,460.0,460.0,477.8,491.7,483.7,30.0,30.0,30.0,-40.0,-40.0,-40.0,-40.8,-38.5,-40.0,67.1,72.6,70.5,993,1073,1042,900.0,900.0,900.0,896.0,905.0,900.1,97.0,98.4,98.0,2888,2924,2914,0,0,0,36,41,39,-24.7,-23.8,-24.2,19.27,19.97,19.61,27.81,31.37,28.72,242.39,244.77,243.33,MANUAL,STRIP,AUTO,STRIP,AUTO,AMBIENT,MANUAL,STRIP
7,C07G0948,17-Jul-26 04:49:47,17-Jul-26 05:29:00,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,9.42,13.78,11.98,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,9.09,13.37,11.53,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,9.88,11.73,11.02,1150.0,1150.0,1150.0,99.5,100.0,100.0,10.50,10.50,10.50,9.96,11.19,10.51,1100.0,1100.0,1100.0,2.0,2.5,2.0,12.00,12.00,12.00,11.51,12.38,12.01,770.0,770.0,770.0,92.7,100.0,99.6,732.0,748.0,739.3,770.0,770.0,770.0,0.0,100.0,80.2,752.0,778.0,767.0,770.0,770.0,770.0,75.1,100.0,97.8,733.0,775.0,756.6,740.0,740.0,740.0,11.9,100.0,59.2,725.0,742.0,732.6,480.0,480.0,480.0,0.0,0.0,0.0,144.0,161.0,150.1,158.0,183.0,165.3,163.0,187.0,170.8,480.0,480.0,480.0,89.8,100.0,98.2,328.0,339.0,333.0,680.0,680.0,680.0,637.1,691.3,656.4,23.0,25.0,23.5,690.0,750.0,701.6,653.2,670.2,660.2,97.5,100.0,100.0,710.0,720.0,718.7,701.6,719.6,710.0,11.8,100.0,93.3,460.0,460.0,460.0,471.6,491.3,478.1,20.0,32.0,28.2,-40.0,-40.0,-40.0,-40.9,-38.8,-40.0,67.1,70.7,68.6,993,1045,1015,900.0,900.0,900.0,895.8,904.3,900.0,96.9,98.0,97.4,2884,2915,2899,0,0,0,35,52,44,-24.8,-4.4,-13.4,19.57,21.11,20.26,29.74,33.20,30.90,239.76,244.05,242.13,MANUAL,STRIP,AUTO,BOTH,AUTO,BOTH,MANUAL,STRIP
8,C07G0952,17-Jul-26 05:30:23,17-Jul-26 06:04:12,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,10.07,13.55,12.01,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,8.59,13.20,11.46,1150.0,1150.0,1150.0,99.5,100.0,100.0,11.00,11.00,11.00,10.26,11.40,10.96,1150.0,1150.0,1150.0,99.5,100.0,100.0,10.50,10.50,10.50,9.92,11.18,10.49,1100.0,1100.0,1100.0,2.0,2.6,2.0,12.00,12.00,12.00,11.57,12.07,11.99,770.0,770.0,770.0,99.9,100.0,100.0,739.0,759.0,751.2,770.0,770.0,770.0,99.9,100.0,100.0,763.0,788.0,778.8,770.0,770.0,770.0,99.9,100.0,100.0,749.0,776.0,766.0,740.0,740.0,740.0,0.0,100.0,80.0,734.0,757.0,747.8,480.0,480.0,480.0,0.0,0.0,0.0,144.0,156.0,150.7,163.0,189.0,176.2,168.0,193.0,181.3,480.0,480.0,480.0,90.4,100.0,98.2,331.0,341.0,335.5,680.0,680.0,680.0,651.0,705.2,659.8,23.0,24.0,23.9,690.0,700.0,697.9,659.0,676.5,669.6,99.8,100.0,100.0,715.0,715.0,715.0,703.0,720.9,714.4,0.0,100.0,80.0,460.0,460.0,460.0,477.8,490.4,482.9,20.0,30.0,25.4,-40.0,-40.0,-40.0,-40.8,-38.6,-40.0,67.8,70.8,69.4,1003,1047,1026,900.0,900.0,900.0,896.0,904.6,900.0,97.1,97.9,97.6,2889,2912,2905,0,0,0,38,44,40,-23.4,-14.7,-18.9,19.92,20.79,20.23,28.69,32.27,29.72,241.33,244.33,243.19,MANUAL,STRIP,AUTO,STRIP,AUTO,STRIP,MANUAL,STRIP
9,C07G0767,17-Jul-26 06:05:23,17-Jul-26 06:44:50,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,10.18,13.83,12.04,1200.0,1200.0,1200.0,99.6,100.0,100.0,11.50,11.50,11.50,9.74,12.87,11.53,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,10.06,11.55,11.01,1150.0,1150.0,1150.0,99.6,100.0,100.0,10.50,10.50,10.50,9.98,11.16,10.50,1100.0,1100.0,1100.0,2.0,2.5,2.0,12.00,12.00,12.00,11.88,12.09,12.00,770.0,770.0,770.0,99.8,100.0,100.0,739.0,757.0,747.0,770.0,770.0,770.0,99.8,100.0,100.0,769.0,786.0,777.5,770.0,770.0,770.0,99.8,100.0,100.0,763.0,776.0,768.6,740.0,740.0,740.0,0.0,100.0,73.7,733.0,754.0,741.8,480.0,480.0,480.0,0.0,0.0,0.0,144.0,154.0,149.4,153.0,166.0,159.6,161.0,172.0,165.8,480.0,480.0,480.0,89.3,100.0,98.2,331.0,342.0,336.0,680.0,680.0,680.0,633.5,689.5,653.6,23.0,23.0,23.0,700.0,700.0,700.0,659.5,672.5,664.8,99.9,100.0,100.0,715.0,715.0,715.0,707.9,718.2,712.8,0.0,100.0,73.7,460.0,460.0,460.0,474.7,482.3,478.3,30.0,30.0,30.0,-40.0,-40.0,-40.0,-40.7,-38.7,-40.0,66.6,69.0,67.6,986,1020,1001,900.0,900.0,900.0,897.1,903.5,900.0,96.9,97.4,97.1,2886,2897,2891,0,0,0,38,42,39,-24.8,-18.8,-23.5,18.46,21.20,19.56,26.97,32.80,29.17,241.55,248.00,245.94,MANUAL,STRIP,AUTO,STRIP,AUTO,STRIP,MANUAL,STRIP
10,C07G0621,17-Jul-26 06:46:21,17-Jul-26 07:21:17,1200.0,1200.0,1200.0,99.7,100.0,100.0,12.00,12.00,12.00,10.59,12.96,11.99,1200.0,1200.0,1200.0,99.7,100.0,100.0,11.50,11.50,11.50,8.48,13.09,11.52,1150.0,1150.0,1150.0,99.6,100.0,100.0,11.00,11.00,11.00,10.60,11.84,11.02,1150.0,1150.0,1150.0,99.5,100.0,100.0,10.50,10.50,10.50,10.34,11.07,10.50,1100.0,1100.0,1100.0,2.0,2.4,2.0,12.00,12.00,12.00,11.87,12.23,12.00,770.0,770.0,770.0,99.9,100.0,100.0,751.0,758.0,753.1,770.0,770.0,770.0,99.9,100.0,100.0,777.0,786.0,782.5,770.0,770.0,770.0,99.9,100.0,100.0,764.0,775.0,769.0,740.0,740.0,740.0,99.5,100.0,99.9,748.0,757.0,751.4,480.0,480.0,480.0,0.0,0.0,0.0,147.0,158.0,151.6,158.0,169.0,163.1,166.0,174.0,169.7,480.0,480.0,480.0,90.1,100.0,98.1,331.0,341.0,336.4,680.0,680.0,680.0,637.5,680.6,644.5,25.0,25.0,25.0,700.0,720.0,706.5,660.4,670.2,664.1,99.8,100.0,100.0,715.0,720.0,719.7,707.5,715.1,711.1,99.5,100.0,99.9,460.0,460.0,460.0,477.4,486.8,481.1,30.0,30.0,30.0,-40.0,-40.0,-40.0,-40.8,-38.4,-40.0,68.4,72.4,70.8,1012,1070,1047,900.0,900.0,900.0,896.3,906.0,900.0,97.5,98.3,98.1,2904,2924,2919,0,0,0,36,40,38,-24.4,-18.5,-22.0,18.53,21.98,20.25,25.44,32.80,27.67,234.00,246.86,240.65,MANUAL,STRIP,AUTO,STRIP,AUTO,STRIP,MANUAL,STRIP
